rozmiar kopca;usuniecie;dodanie;wyszukanie;
100;0.00534003;0.00483146;0.00534003;
100;0.00508575;0.00584861;0.0381431;
100;0.00457717;0.0040686;0.00356002;
100;0.00483146;0.00584861;0.0198344;
100;0.00432288;0.00483146;0.0129687;
100;0.00534003;0.00483146;0.00381431;
100;0.00457717;0.00432288;0.00381431;
100;0.00483146;0.00457717;0.00940863;
100;0.00432288;0.00432288;0.00661147;
100;0.00534003;0.00559432;0.0040686;
1000;0.00534003;0.0244116;0.20521;
1000;0.00508575;0.00661147;0.237504;
1000;0.00559432;0.00635718;0.00940863;
1000;0.00508575;0.00635718;0.0643347;
1000;0.00559432;0.00890006;0.117481;
1000;0.00508575;0.00788291;0.0437374;
1000;0.0061029;0.0122058;0.0602661;
1000;0.0061029;0.0081372;0.185121;
1000;0.00584861;0.00788291;0.14469;
1000;0.00584861;0.00635718;0.00534003;
20000;0.0625547;0.0264459;0.434323;
20000;0.0340745;0.027463;1.5214;
20000;0.0307688;0.020343;0.907297;
20000;0.0310231;0.020343;1.03419;
20000;0.0551804;0.0432288;1.44079;
20000;0.0335659;0.0226316;0.100444;
20000;0.0330574;0.0226316;0.0951035;
20000;0.029243;0.0205973;0.146724;
20000;0.0350917;0.0198344;0.160455;
20000;0.0287345;0.0205973;0.587404;
100000;0.261153;0.0666233;0.353205;
100000;0.130449;0.0666233;21.162;
100000;0.128669;0.0818805;9.01652;
100000;0.145198;0.0806091;10.2318;
100000;0.125872;0.0666233;5.81148;
100000;0.124855;0.0658604;20.9217;
100000;0.132738;0.0668776;16.3349;
100000;0.137315;0.068149;9.72878;
100000;0.142147;0.0745062;12.1999;
100000;0.140621;0.0785748;15.3035;
