rozmiar danych;dynamiczna tablica;kopiec;lista2kierunkowa
100;0.439663;0.526375;0.39262;
100;0.595541;0.587912;0.455174;
100;0.431017;0.510863;0.384737;
100;0.473992;0.60495;0.391603;
100;0.425677;0.469414;0.387025;
100;0.432797;0.470177;0.393891;
100;0.51188;0.638261;0.52078;
100;0.571384;0.641058;0.511118;
100;0.422626;0.472212;0.410928;
100;0.552821;0.596812;0.512135;
1000;5.34893;6.84618;4.95047;
1000;6.71827;5.58593;4.92936;
1000;4.71627;5.25866;4.00045;
1000;5.85853;5.81097;3.99536;
1000;4.78721;5.25943;4.30305;
1000;4.89096;5.17678;3.93128;
1000;6.26945;6.82202;4.56395;
1000;5.51931;5.75122;4.46452;
1000;4.86935;5.27468;4.16116;
1000;5.56635;5.28358;3.96866;
20000;237.735;240.418;85.8736;
20000;229.726;249.687;90.8426;
20000;232.428;281.941;100.058;
20000;223.275;250.398;86.9421;
20000;233.52;236.856;91.6673;
20000;232.712;255.063;88.4472;
20000;231.514;248.527;92.4047;
20000;248.336;266.202;110.5;
20000;228.917;251.483;98.8807;
20000;242.514;254.609;90.1505;
50000;1058.79;1088.02;226.202;
50000;1113.57;1134.18;243.925;
50000;1125.24;1104.17;233.484;
50000;1143.78;1148.22;234.154;
50000;1067.76;1076.35;234.286;
50000;1092.09;1084.01;227.068;
50000;1056.21;1095.49;240.698;
50000;1066.43;1069.38;231.024;
50000;1077.76;1099.95;236.646;
50000;1080.89;1091.14;232.876;
100000;3755.24;3747.24;467.549;
100000;3822;3743.25;460.549;
100000;3788.85;3756.51;456.569;
100000;3795.55;3730.57;459.336;
100000;3721.93;3759.92;447.071;
100000;3726.15;3750.04;474.524;
100000;3684.6;4015.83;465.091;
100000;3946.87;3829.06;453.505;
100000;3861.66;3808.03;461.892;
100000;3972.44;4042.63;466.41;
100;0.444839;0.502913;0.428247;
5;0.051358;
5;0.0264691;0.0252839;0.0252839;
5;0.0264691;0.025679;0.0252839;
5;0.0493827;0.0537284;0.0434568;
5;0.0331852;0.025679;0.0284444;
5;0.0600493;0.0521481;0.0466172;
